"Model","all","confidence_weighting","most_spiked_location","most_spiked_patch","top_percent"
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.1_30000_1_True_0.75",74.89,74.84,72.82,75.21,73.9
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.25_30000_3_True_0.75",74.88,74.95,72.85,74.84,73.63
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.15_30000_2_True_0.75",74.84,75.86,71.79,74.49,74.31
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.075_30000_1_True_0.75",74.72,74.91,73.26,74.17,73.14
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.125_30000_2_True_0.75",74.68,75.24,72.03,72.87,72.02
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.25_30000_2_True_0.75",74.68,74.69,73.87,74.84,74.34
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.125_30000_1_True_0.75",74.63,74.75,73.3,74.75,73.68
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.1_30000_2_True_0.75",74.53,74.98,73.67,74.56,74.1
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.075_30000_2_True_0.75",74.33,75.43,72.02,74.15,73.91
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.125_30000_2_True_0.75",74.28,75.14,72.2,73.78,72.91
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.15_30000_3_True_0.75",74.26,74.41,72.05,73.69,72.76
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.1_30000_2_True_0.75",74.24,74.55,73.56,74.19,73.77
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.75_30000_3_True_0.75",74.24,74.29,72.83,74.44,73.98
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.05_30000_2_True_0.75",74.2,74.09,72.42,73.63,73.3
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.75_30000_2_True_0.75",73.97,74.13,71.74,73.91,73.09
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.25_30000_3_True_0.75",73.91,73.98,70.98,72.24,71.39
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.75_30000_1_True_0.75",73.87,74.14,71.6,73.68,73.15
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.125_30000_3_True_0.75",73.78,73.43,72.93,73.18,72.11
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.5_30000_2_True_0.75",73.77,73.64,71.23,73.25,72.2
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.5_30000_2_True_0.75",73.57,74.78,71.54,73.48,72.47
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.15_30000_3_True_0.75",73.49,74.26,72.12,72.8,72.11
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.05_30000_3_True_0.75",73.45,74.27,72.33,73.71,72.7
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.075_30000_2_True_0.75",73.28,73.16,71.7,73.09,72.69
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.1_30000_2_True_0.75",73.28,74.2,71.7,73.29,73.34
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.05_30000_2_True_0.75",73.22,74.24,70.98,71.38,70.71
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.1_30000_2_True_0.75",73.07,73.81,71.71,72.81,71.86
